24	34	21	107	87	56	59
1	0.2	0.2	1	2	1	0.2
		0.2				
8	8	5	4	3	4	3
	0.1					
	0.1	0.1	0.1	0.1		
33	19	5	16	3	20	17
113	191	134	138	119	144	183
	61	0.2			0.3	0.7
16	23	21	38	21	19	14
10	2	6	41	7	6	12
27	35	41	44	37	51	33
0.3	0.1	0.1		0.2	0.2	0.3
106	174	186	294	159	9	61
9	2	4	0.4	2	4	0.5
0.6	9	3	11	13	8	9
79	85	51	50	52	85	110
36	46	152	89	100	24	21
4	16	6	11	3	13	7
43	73	106	36	42	33	68
31	35	51	52	29	27	38
7	5	3	9	1	2	5
0.1	0.2	0.2	0.1	0.1	0.2	0.1
17	25	75	58	78	20	89
0.2		0.6		0.2		
47	27	20	46	90	119	73
180	128	112	83	89	87	166
52	44	88	31	45	22	52
3	2	6	20	0.1	0.5	5
43	25	104	46	28	26	35
0.3				0.1		0.2
37	41	20	22	24	20	27
15	12	11	15	6	10	8
91	103	71	69	107	49	99
47	37	37	77	45	75	86
0.2	2	0.4	0.4	0.4	0.3	1
88	84	72	42	47	43	58
0.1	0.6	0.4	3	110	0.3	0.1
8	10	4	20	9	16	14
8	0.4	14	27	18	22	13
0.4	5				0.9	1
130	106	119	128	113	122	93
1	0.9	4	2	1	1	1
	0.1	0.2	0.2	0.1	0.1	0.1
						0.1
20	16	16	16	15	15	14
0.2	0.9	0.8	1	6	2	2
105	123	115	76	158	52	134
				0.4	0.1	0.6
132	119	117	137	102	89	113
0.6	0.6		2		0.3	
1	10	2	12	0.1	0.3	4
183	141	103	121	106	107	129
					0.1	
264	191	245	301	117	78	569
15	11	11	52	25	73	31
	0.1			1	8	
	0.1				0.1	
			16	0.1	2	0.4
5	6	6	3	8	6	11
0.1	1	18	1	0.6	0.2	0.2
0.4	0.4	0.4	0.2	0.1	0.2	0.4
48	43	30	12	43	27	24
44	51	23	39	22	8	45
27	21	15	10	14	19	16
0.4	0.3	0.2	1	0.2	3	0.1
0.8	0.5	1	0.6	0.3	5	0.6
92	95	47	35	92	59	72
26	17	10	8	20	12	22
8	12	7	4	8	6	6
22	11	19	22	6	14	7
57	55	38	33	85	39	21
0.1	0.4	0.2	0.2		0.5	0.1
49	36	53	31	59	78	28
0.7	1	0.9	0.8	0.6	0.5	0.3
20	11	13	10	27	3	15
294	292	230	170	272	191	299
0.2	1	0.3	0.6	0.4	0.2	0.3
66	42	28	69	39	74	46
2	3	3	7	3	4	6
0.2	0.1		2			0.7
5	5	5	2	5	3	2
56	40	45	54	79	40	30
	305	0.6				14
		0.1				
	0.1	0.1	0.2	0.1		
58	24	54	212	173	161	134
1	9	3	0.3	2	4	18
238	151	805	362	229	184	272
36	41	20	20	6	1	16
69	81	67	122	100	97	51
4	7	5	2	1	5	16
19	34	23	19	23	10	29
0.5	2	0.5	0.7		0.2	0.1
51	70	29	38	44	30	42
29	12	15	17	22	15	29
77	9	0.2	0.3	70	4	0.5
19	18	27	18	21	16	19
0.2	0.4		1	0.4	1	1
56	71	80	32	36	27	67
17	63	46	16	27	63	21
0.6	0.9	0.1	0.7	0.2	0.5	0.7
0.8	0.4	0.2	0.6	0.2	0.1	0.3
12	10	15	30	11	6	7
8	0.1	7	38	14	15	15
45	34	21	46	41	31	35
30	18	11	48	23	17	19
20	32	20	24	34	33	25
67	57	64	73	142	67	82
564	776	377	312	390	657	373
423	639	443	227	894	294	706
101	99	227	147	65	92	122
43	20	38	22	45	48	95
0.5	6		0.1	0.1	2	11
1	0.5	2	0.9	1	0.7	1
0.1	0.1	0.1		0.1		0.1
6	8	11	5	11	6	9
0.2	0.1	0.5	0.3	0.1	0.1	0.1
23	11	20	20	10	18	15
59	55	40	29	54	30	45
0.2	0.2	0.1	0.4		0.6	0.5
234	157	267	228	65	107	185
131	77	83	108	112	80	73
0.3	0.2	0.6	3	0.4	0.3	1
19	21	11	15	13	11	22
117	153	75	86	63	59	45
5	6	5	7	3	8	6
52	55	35	37	38	44	40
315	159	180	204	199	146	355
51	46	52	37	71	45	50
28	155	183	262	121	85	136
			0.2			0.4
184	210	143	70	100	54	100
16	15	28	23	19	18	29
2	1		1	0.4	1	0.9
6	6	4	6	6	6	8
0.8	5		46		2	7
20	20	25	29	17	22	23
	0.1		0.2			
39	62	13	22	27	15	40
0.3	0.1	0.1			0.1	
10	56	12	55	45	26	22
0.2	6					
8	16	5	10	9	5	8
0.2	0.6	0.1	2	0.1	0.1	1
3	13	4	13	12	9	6
0.1			0.6	0.2	1	2
39	9	3	25	9	21	22
33	26	20	21	15	20	35
51	40	60	60	115	33	105
17	16	21	26	20	15	12
0.3	0.1	0.1	0.1		0.1	0.2
95	142	102	40	143	56	86
119	197	71	66	152	66	85
15	12	8	12	16	13	18
55	62	2	2	3	18	173
2	1	8	0.7	0.6	0.4	0.7
13	12	20	84	18	20	17
20	13	17	17	11	17	20
6	6	3	6	6	4	10
15	16	9	17	8	18	13
26	32	41	25	24	16	28
				1		
32	28	27	22	25	17	20
17	19	9	11	10	15	14
145	121	95	104	98	99	116
59	40	31	46	33	49	53
40	56	68	47	57	27	84
275	213	181	102	228	98	165
4	5	4	1	5	1	2
0.1	0.3	0.3	0.6	0.2	1	
51	39	36	34	34	34	36
51	38	77	29	85	49	44
25	45	3	69	52	1	25
271	141	209	85	238	31	222
45	36	17	21	25	11	27
33	34	28	26	24	28	25
1	0.5	0.3	1	0.4	8	0.2
41	32	33	66	110	25	47
55	48	43	37	54	24	47
10	13	7	23	12	25	17
28	27	39	36	78	38	39
0.3	1	0.2	1	0.2	0.1	0.1
			0.2			0.2
20	8	29	17	56	30	26
6	19	0.1	0.8	7	9	15
65	51	22	41	50	25	42
42	147	39	35	67	31	93
2	5	2	4	6	5	99
204	156	124	663	3	0.6	118
28	45	12	50	35	53	44
12	11	6	17	10	30	10
			0.2	0.2	0.1	
30	20	11	25	18	22	30
0.3		0.5			0.1	0.1
231	149	259	184	259	87	194
17		23	16		0.1	
11	29	9	12	12	27	19
112	92	83	49	65	25	95
40	32	38	35	38	29	35
10	84	16	39	0.8	11	12
229	341	115	112	302	123	163
18	13	19	24	20	26	29
0.1	0.1	0.2	0.1		0.1	0.2
0.5	0.3	0.5	3	0.5	0.3	45
129	77	72	99	86	82	95
26	62	78	36	72	35	54
49	77	131	89	20	60	57
34	27	33	28	38	23	50
7	8	5	9	5	10	11
26	26	33	16	28	20	47
18	34	18	18	19	16	16
13	14	12	40	13	30	39
62	78	90	54	97	93	62
15	18	6	37	14	22	23
24	20	18	14	27	16	11
37	16	14	37	42	29	23
57	218	31	20	0.6	7	13
8	10	9	11	7	1	14
0.1	0.1	0.3	0.1	0.1	0.2	0.1
92	53	57	22	38	11	47
39	28	63	54	56	49	55
48	39	22	16	29	7	44
23	15	23	13	13	22	13
67	48	51	27	23	39	72
4	34	0.3	1	0.6		0.7
191	192	171	247	322	261	269
59	90	37	48	46	49	51
8	4	9	8	2	2	9
61	92	51	32	47	44	46
0.4	0.6	0.1	14	0.3	2	0.1
5	8	5	4	7	5	4
63	58	43	56	49	41	64
0.2	0.4	0.5	1	0.1	0.7	0.4
			35		1	0.8
47	18	10	16	32	21	25
2	2	3	0.8	1	1	2
	0.1					
25	24	12	28	26	31	20
0.1	0.1	0.1	0.1	0.1		0.1
0.1		0.1				0.1
43	38	21	34	46	38	47
	9	1	0.1	0.3	4	0.1
2		0.1	24	0.1	0.1	
0.1		0.1				0.1
54	81	37	83	44	53	80
84	69	75	109	139	63	73
		0.1			0.7	
	0.1	0.2	0.2	0.1	0.1	0.1
80	58	70	54	70	59	62
10	5	14	17	22	11	13
21	14	1	3	10	79	
0.2	0.2	0.6	0.2	0.2	0.2	0.4
217	693	174	185	314	151	179
117	85	58	57	80	54	82
	0.6		0.1	0.1	0.1	
24	44	31	30	31	26	36
0.1	0.1	0.2	0.2	0.1		0.1
28	42	30	26	40	35	26
2	4		0.4	1	0.8	1
0.1	4	1	0.5	0.1	0.1	0.8
19	22	28	11	5	8	15
	0.3	0.5		0.1		
1	2	2	1	0.8	1	3
0.2	0.1		0.1	0.1	2	0.1
87	37	328	101	574	399	121
107	3106	1206	40	344	130	229
0.4	1	0.1			0.1	
14	21	14	15	12	10	13
49	69	21	26	52	33	42
24	7	2	22	4	9	20
		0.1				
9	15	13	11	15	8	10
20	32	19	18	14	14	24
7	6	26	17	34	24	56
98	43	34	84	204	62	29
21	33	14	12	16	14	26
10	12	8	69	2	34	20
36	69	20	57	46	12	47
0.1		0.3	0.1			0.2
	0.1		0.2	0.3	0.1	0.1
29	42	28	23	28	25	34
4	3	8	0.4	2	0.8	0.1
15	8	7	9	11	12	11
31	38	20	24	18	18	22
29	12	26	12	25	9	27
12	13	4	0.5	4	15	0.9
78	149	81	132	274	95	102
	0.1					
0.1	1	0.1		6	0.2	0.1
8	6	4	6	6	7	5
