26	27	8	27	30	48	36
186	417	220	149	266	128	146
11	13	6	8	6	5	7
25	23	8	13	25	4	14
			20			
15	1	3	2	0.1	0.9	2
223	53	149	85	148	78	160
23	26	23	17	20	21	12
70	60	63	51	47	39	41
11	12	14	6	11	3	10
77	98	50	35	78	29	75
37	54	32	29	39	31	42
	7			4	2	
1	2	0.1	1	0.2	2	0.3
0.1	0.1	1	0.2	0.1	0.7	0.3
85	97	113	117	61	61	119
18	3	38	11	6	13	15
38	39	40	63	32	38	57
8	11	7	12	8	14	4
0.1	0.4				0.1	0.2
39	33	35	17	10	8	34
79	100	77	107	70	61	76
255	30	237	751	300	151	332
4	1	0.3	0.3	1	0.5	3
	0.1	0.1	0.6		0.3	
0.4	1	0.1	0.1	0.1	0.1	0.4
	1		0.1			0.1
29	14	26	46	57	20	37
174	81	118	210	97	40	107
38	25	26	25	27	24	34
0.1	0.2	0.2	1		0.2	0.1
190	192	102	157	161	231	108
9	5	0.8	0.1	3	3	
0.1	2	9	2	0.4	4	0.4
7	13	0.5	0.2	3	2	15
46	38	26	60	27	33	47
22	14	44	30	35	17	23
4	3	1	8	2	4	4
7	4	12	12	5	8	10
9	3	2	0.7	1	7	2
19	38	14	15	25	25	16
29	28	34	29	20	26	27
1	1	1	0.7	0.5	0.4	1
93	17	3	14	27	19	4
142	131	156	246	76	110	193
3	7	2	2	3	2	5
279	385	153	229	202	193	231
29	16	33	234	4	18	30
132	187	113	61	215	95	119
0.4	0.1	0.1	0.2		0.6	0.7
139	159	94	91	86	87	50
106	163	69	80	196	73	94
44	56	39	57	30	34	40
2	1	2	10	2	4	1
91	147	82	76	99	64	73
16	12	34	32	18	18	19
0.3	1	1	7	0.1	0.1	0.6
9	2	6	4	5	1	7
203	249	140	127	204	111	116
154	121	0.1	68	0.4	412	0.3
	0.1	0.3	0.1	0.1		0.2
0.8	1	1	2	3	0.2	1
2	0.1	0.2	23	42	9	27
0.1			0.1	0.1	0.4	0.3
161	82	164	246	114	186	146
33	16	30	54	44	49	37
151	125	93	81	115	62	98
0.1	0.2	0.1		0.1	0.1	0.2
				0.1	0.1	
58	102	63	58	59	49	53
61	38	25	65	56	66	46
	0.1		16	0.1		0.2
69	71	55	25	71	28	45
76	71	39	59	75	61	109
1107	1344	865	1142	1286	657	2892
10	30	30	11	18	0.9	33
12	2	0.6	0.8	0.4	0.5	15
96	72	111	103	49	53	86
131	71	60	145	121	92	93
0.2	0.1		1		0.1	
0.1	0.3				0.1	2
12	17	13	22	17	13	14
40	72	53	35	34	34	25
0.2	2	0.4	0.4	0.9	1	0.5
7	14	3	6	10	2	15
98	107	75	26	45	51	59
8	8	9	13	9	6	19
15	27	24	22	34	10	15
34	36	3	71	21	8	117
100	76	311	100	30	28	118
14	31	17	14	17	11	16
26	25	18	41	29	15	19
			0.2			0.5
						0.1
0.3	0.1	0.2	0.2	0.1		0.1
20	35	14	18	34	21	25
22	54	19	9	28	7	35
10	12	59	43	19	14	26
0.2	6	3	2		9	25
49	33	66	102	31	41	73
41	59	60	170	26	121	85
11	5	62	35	0.7	19	16
68	75	53	48	62	50	59
13	14	17	6	15	14	15
38	27	26	17	18	46	28
45	38	27	22	21	22	41
0.1				0.1	0.1	
8	12	6	21	9	4	12
132	198	137	210	23	14	84
19	25	15	19	22	15	21
308	160	339	324	642	384	305
0.4	0.1	0.4	0.7	0.2	0.1	0.7
5	0.4	0.1	2	0.3	277	0.3
66	92	69	102	106	55	86
20	27	5	20	23	14	29
5	22	0.7	3	5	1	1
11	8	9	5	0.9	1	7
